username,repo_name,stars,repo_url
mrdoob,three.js,69900,https://github/mrdoob/three.js
libgdx,libgdx,18300,https://github/libgdx/libgdx
BabylonJS,Babylon.js,13900,https://github/BabylonJS/Babylon.js
pmndrs,react-three-fiber,13000,https://github/pmndrs/react-three-fiber
aframevr,aframe,12700,https://github/aframevr/aframe
ssloy,tinyrenderer,10600,https://github/ssloy/tinyrenderer
FreeCAD,FreeCAD,9200,https://github/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,8400,https://github/lettier/3d-game-shaders-for-beginners
metafizzy,zdog,8400,https://github/metafizzy/zdog
CesiumGS,cesium,6900,https://github/CesiumGS/cesium
a1studmuffin,SpaceshipGenerator,6700,https://github/a1studmuffin/SpaceshipGenerator
timzhang642,3D-Machine-Learning,6500,https://github/timzhang642/3D-Machine-Learning
spritejs,spritejs,4400,https://github/spritejs/spritejs
tensorspace-team,tensorspace,4400,https://github/tensorspace-team/tensorspace
intel-isl,Open3D,4400,https://github/intel-isl/Open3D
jagenjo,webglstudio.js,4300,https://github/jagenjo/webglstudio.js
AaronJackson,vrn,4300,https://github/AaronJackson/vrn
YadiraF,PRNet,4300,https://github/YadiraF/PRNet
openscad,openscad,4000,https://github/openscad/openscad
domlysz,BlenderGIS,3800,https://github/domlysz/BlenderGIS
ssloy,tinyraytracer,3700,https://github/ssloy/tinyraytracer
mosra,magnum,3500,https://github/mosra/magnum
cleardusk,3DDFA,3000,https://github/cleardusk/3DDFA
gfxfundamentals,webgl-fundamentals,3000,https://github/gfxfundamentals/webgl-fundamentals
jasonlong,isometric-contributions,2900,https://github/jasonlong/isometric-contributions
google,model-viewer,2800,https://github/google/model-viewer
blender,blender,2500,https://github/blender/blender
antvis,L7,2300,https://github/antvis/L7
pissang,claygl,2200,https://github/pissang/claygl
tinyobjloader,tinyobjloader,2200,https://github/tinyobjloader/tinyobjloader
