username,repo_name,stars,repo_url
public-apis,public-apis,119000,https://github/public-apis/public-apis
httpie,httpie,50600,https://github/httpie/httpie
neovim,neovim,43300,https://github/neovim/neovim
strapi,strapi,36000,https://github/strapi/strapi
slatedocs,slate,32400,https://github/slatedocs/slate
tiangolo,fastapi,30100,https://github/tiangolo/fastapi
hoppscotch,hoppscotch,28700,https://github/hoppscotch/hoppscotch
littlecodersh,ItChat,21400,https://github/littlecodersh/ItChat
encode,django-rest-framework,20800,https://github/encode/django-rest-framework
YMFE,yapi,20700,https://github/YMFE/yapi
paularmstrong,normalizr,20100,https://github/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19600,https://github/FallibleInc/security-guide-for-developers
Binaryify,NeteaseCloudMusicApi,19600,https://github/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,18900,https://github/ccxt/ccxt
microsoft,api-guidelines,17000,https://github/microsoft/api-guidelines
Kong,insomnia,16200,https://github/Kong/insomnia
shieldfy,API-Security-Checklist,15600,https://github/shieldfy/API-Security-Checklist
learn-anything,learn-anything,12900,https://github/learn-anything/learn-anything
youfou,wxpy,12700,https://github/youfou/wxpy
BrainJS,brain.js,11900,https://github/BrainJS/brain.js
jsdoc,jsdoc,11900,https://github/jsdoc/jsdoc
directus,directus,10700,https://github/directus/directus
graphile,postgraphile,10200,https://github/graphile/postgraphile
ChainSafe,web3.js,10100,https://github/ChainSafe/web3.js
micro,micro,10000,https://github/micro/micro
postmanlabs,httpbin,9800,https://github/postmanlabs/httpbin
go-chi,chi,9300,https://github/go-chi/chi
ruby-grape,grape,9300,https://github/ruby-grape/grape
star7th,showdoc,8900,https://github/star7th/showdoc
zealdocs,zeal,8700,https://github/zealdocs/zeal
