username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9500,https://github/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,8900,https://github/dotnet/AspNetCore.Docs
bitwarden,server,7700,https://github/bitwarden/server
ElectronNET,Electron.NET,5600,https://github/ElectronNET/Electron.NET
RicoSuter,NSwag,4300,https://github/RicoSuter/NSwag
thangchung,clean-code-dotnet,3700,https://github/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2200,https://github/smartstore/SmartStoreNET
microsoft,aspnet-api-versioning,2000,https://github/microsoft/aspnet-api-versioning
loic-sharma,BaGet,1600,https://github/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1400,https://github/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1100,https://github/lampo1024/DncZeus
mjebrahimi,Awesome-Microservices-NetCore,1000,https://github/mjebrahimi/Awesome-Microservices-NetCore
MarimerLLC,csla,879,https://github/MarimerLLC/csla
riganti,dotvvm,529,https://github/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,466,https://github/cornflourblue/aspnet-core-3-jwt-authentication-api
chsakell,mvcarchitecture,429,https://github/chsakell/mvcarchitecture
antonioCoco,SharPyShell,416,https://github/antonioCoco/SharPyShell
brthor,Gofer.NET,389,https://github/brthor/Gofer.NET
Maarten88,rrod,368,https://github/Maarten88/rrod
YAFNET,YAFNET,367,https://github/YAFNET/YAFNET
SapphireDb,SapphireDb,330,https://github/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,314,https://github/Taritsyn/WebMarkupMin
cornflourblue,aspnet-core-jwt-authentication-api,273,https://github/cornflourblue/aspnet-core-jwt-authentication-api
IvanJosipovic,BlazorTable,266,https://github/IvanJosipovic/BlazorTable
EEParker,aspnetcore-vueclimiddleware,260,https://github/EEParker/aspnetcore-vueclimiddleware
grandchamp,Identity.Dapper,241,https://github/grandchamp/Identity.Dapper
ElectronNET,electron.net-api-demos,238,https://github/ElectronNET/electron.net-api-demos
OpenTouryoProject,OpenTouryo,233,https://github/OpenTouryoProject/OpenTouryo
