username,repo_name,stars,repo_url
metafizzy,infinite-scroll,6900,https://github/metafizzy/infinite-scroll
ljianshu,Blog,6400,https://github/ljianshu/Blog
developit,unfetch,5100,https://github/developit/unfetch
jquery-form,form,5100,https://github/jquery-form/form
Studio-42,elFinder,4000,https://github/Studio-42/elFinder
olifolkerd,tabulator,3900,https://github/olifolkerd/tabulator
ded,reqwest,2900,https://github/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2500,https://github/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2300,https://github/LeaVerou/bliss
elbywan,wretch,2200,https://github/elbywan/wretch
noelboss,featherlight,2000,https://github/noelboss/featherlight
craftpip,jquery-confirm,1700,https://github/craftpip/jquery-confirm
wendux,Ajax-hook,1600,https://github/wendux/Ajax-hook
ptaoussanis,sente,1600,https://github/ptaoussanis/sente
joaomilho,Enterprise,1500,https://github/joaomilho/Enterprise
nette,tracy,1400,https://github/nette/tracy
u014427391,jeeplatform,1300,https://github/u014427391/jeeplatform
yisainan,web-interview,1300,https://github/yisainan/web-interview
MoOx,pjax,1200,https://github/MoOx/pjax
danielm,uploader,1000,https://github/danielm/uploader
loadingio,css-spinner,1000,https://github/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1000,https://github/codingforentrepreneurs/eCommerce
renderedtext,render_async,990,https://github/renderedtext/render_async
swlib,saber,883,https://github/swlib/saber
webcreate,infinite-ajax-scroll,805,https://github/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,726,https://github/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,701,https://github/rapidjs/rapid.js
proyecto26,RestClient,700,https://github/proyecto26/RestClient
ni-ze,ssm-BookAppointment,671,https://github/ni-ze/ssm-BookAppointment
csxiaoyaojianxian,JavaScriptStudy,538,https://github/csxiaoyaojianxian/JavaScriptStudy
