username,repo_name,stars,repo_url
jwasham,coding-interview-university,165000,https://github/jwasham/coding-interview-university
CyC2018,CS-Notes,127000,https://github/CyC2018/CS-Notes
trekhleb,javascript-algorithms,104000,https://github/trekhleb/javascript-algorithms
TheAlgorithms,Python,103000,https://github/TheAlgorithms/Python
yangshun,tech-interview-handbook,52000,https://github/yangshun/tech-interview-handbook
kdn251,interviews,51000,https://github/kdn251/interviews
azl397985856,leetcode,41600,https://github/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,33600,https://github/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26000,https://github/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,22400,https://github/donnemartin/interactive-coding-challenges
keon,algorithms,19100,https://github/keon/algorithms
huihut,interview,18300,https://github/huihut/interview
trekhleb,homemade-machine-learning,17400,https://github/trekhleb/homemade-machine-learning
halfrost,LeetCode-Go,17100,https://github/halfrost/LeetCode-Go
mxgmn,WaveFunctionCollapse,16100,https://github/mxgmn/WaveFunctionCollapse
OpenGenus,cosmos,12600,https://github/OpenGenus/cosmos
AtsushiSakai,PythonRobotics,12100,https://github/AtsushiSakai/PythonRobotics
TheAlgorithms,C-Plus-Plus,11700,https://github/TheAlgorithms/C-Plus-Plus
greyireland,algorithm-pattern,11500,https://github/greyireland/algorithm-pattern
apachecn,apachecn-algo-zh,10300,https://github/apachecn/apachecn-algo-zh
TheAlgorithms,Javascript,9800,https://github/TheAlgorithms/Javascript
williamfiset,Algorithms,9600,https://github/williamfiset/Algorithms
halfrost,Halfrost-Field,8800,https://github/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,8100,https://github/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8100,https://github/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7100,https://github/jeffgerickson/algorithms
mgechev,javascript-algorithms,6700,https://github/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,6500,https://github/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,6100,https://github/OlafenwaMoses/ImageAI
Turfjs,turf,6000,https://github/Turfjs/turf
