username,repo_name,stars,repo_url
amphp,amp,3200,https://github/amphp/amp
danog,MadelineProto,1500,https://github/danog/MadelineProto
amphp,http-server,1100,https://github/amphp/http-server
unreal4u,telegram-api,653,https://github/unreal4u/telegram-api
amphp,http-client,558,https://github/amphp/http-client
amphp,parallel,490,https://github/amphp/parallel
php-service-bus,service-bus,294,https://github/php-service-bus/service-bus
amphp,mysql,239,https://github/amphp/mysql
amphp,byte-stream,217,https://github/amphp/byte-stream
amphp,parallel-functions,174,https://github/amphp/parallel-functions
amphp,socket,127,https://github/amphp/socket
amphp,process,124,https://github/amphp/process
amphp,redis,109,https://github/amphp/redis
kelunik,acme,103,https://github/kelunik/acme
PeeHaa,mailgrab,90,https://github/PeeHaa/mailgrab
amphp,dns,87,https://github/amphp/dns
amphp,websocket-client,85,https://github/amphp/websocket-client
amphp,sync,70,https://github/amphp/sync
jolicode,asynit,66,https://github/jolicode/asynit
amphp,websocket-server,62,https://github/amphp/websocket-server
amphp,postgres,56,https://github/amphp/postgres
amphp,beanstalk,52,https://github/amphp/beanstalk
amphp,file,51,https://github/amphp/file
amphp,cache,50,https://github/amphp/cache
amphp,windows-registry,46,https://github/amphp/windows-registry
amphp,hpack,43,https://github/amphp/hpack
phpinnacle,ridge,41,https://github/phpinnacle/ridge
Room-11,Jeeves,41,https://github/Room-11/Jeeves
amphp,aerys,39,https://github/amphp/aerys
amphp,cluster,37,https://github/amphp/cluster
