username,repo_name,stars,repo_url
flutter,flutter,119000,https://github/flutter/flutter
justjavac,free-programming-books-zh_CN,78900,https://github/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,47700,https://github/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,43800,https://github/Hack-with-Github/Awesome-Hacking
google,material-design-icons,42700,https://github/google/material-design-icons
wasabeef,awesome-android-ui,40400,https://github/wasabeef/awesome-android-ui
square,okhttp,39900,https://github/square/okhttp
android,architecture-samples,38600,https://github/android/architecture-samples
square,retrofit,38000,https://github/square/retrofit
Solido,awesome-flutter,35200,https://github/Solido/awesome-flutter
PhilJay,MPAndroidChart,33200,https://github/PhilJay/MPAndroidChart
fastlane,fastlane,31700,https://github/fastlane/fastlane
shadowsocks,shadowsocks-android,31400,https://github/shadowsocks/shadowsocks-android
bumptech,glide,31100,https://github/bumptech/glide
airbnb,lottie-android,31000,https://github/airbnb/lottie-android
Trinea,android-open-project,30600,https://github/Trinea/android-open-project
Blankj,AndroidUtilCode,29200,https://github/Blankj/AndroidUtilCode
xitu,gold-miner,28800,https://github/xitu/gold-miner
bilibili,ijkplayer,28700,https://github/bilibili/ijkplayer
zxing,zxing,27600,https://github/zxing/zxing
codepath,android_guides,27300,https://github/codepath/android_guides
square,leakcanary,26000,https://github/square/leakcanary
skylot,jadx,25800,https://github/skylot/jadx
alibaba,fastjson,23300,https://github/alibaba/fastjson
laurent22,joplin,22500,https://github/laurent22/joplin
scwang90,SmartRefreshLayout,22400,https://github/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,21800,https://github/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20500,https://github/react-native-elements/react-native-elements
NativeScript,NativeScript,20000,https://github/NativeScript/NativeScript
futurice,android-best-practices,19700,https://github/futurice/android-best-practices
