username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,78900,https://github/justjavac/free-programming-books-zh_CN
angular,angular,72700,https://github/angular/angular
storybookjs,storybook,60700,https://github/storybookjs/storybook
ionic-team,ionic-framework,43500,https://github/ionic-team/ionic-framework
prettier,prettier,39500,https://github/prettier/prettier
leonardomso,33-js-concepts,39200,https://github/leonardomso/33-js-concepts
SheetJS,sheetjs,25300,https://github/SheetJS/sheetjs
angular,angular-cli,24400,https://github/angular/angular-cli
angular,components,21400,https://github/angular/components
NativeScript,NativeScript,20000,https://github/NativeScript/NativeScript
jhipster,generator-jhipster,18300,https://github/jhipster/generator-jhipster
Eugeny,terminus,17600,https://github/Eugeny/terminus
handsontable,handsontable,15100,https://github/handsontable/handsontable
sweetalert2,sweetalert2,12800,https://github/sweetalert2/sweetalert2
linnovate,mean,12100,https://github/linnovate/mean
goldbergyoni,javascript-testing-best-practices,11100,https://github/goldbergyoni/javascript-testing-best-practices
coreui,coreui-free-bootstrap-admin-template,10700,https://github/coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,10500,https://github/codesandbox/codesandbox-client
PatrickJS,angular-starter,10400,https://github/PatrickJS/angular-starter
Chocobozzz,PeerTube,9300,https://github/Chocobozzz/PeerTube
angular,protractor,8700,https://github/angular/protractor
OnsenUI,OnsenUI,8300,https://github/OnsenUI/OnsenUI
text-mask,text-mask,8000,https://github/text-mask/text-mask
PatrickJS,awesome-angular,7900,https://github/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7700,https://github/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,7400,https://github/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7200,https://github/ag-grid/ag-grid
rematch,rematch,7100,https://github/rematch/rematch
akveo,nebular,7000,https://github/akveo/nebular
nrwl,nx,6900,https://github/nrwl/nx
