username,repo_name,stars,repo_url
ansible,ansible,47900,https://github/ansible/ansible
StreisandEffect,streisand,22300,https://github/StreisandEffect/streisand
trailofbits,algo,20500,https://github/trailofbits/algo
kubernetes-sigs,kubespray,10400,https://github/kubernetes-sigs/kubespray
ansible,awx,9600,https://github/ansible/awx
bregman-arie,devops-exercises,8200,https://github/bregman-arie/devops-exercises
easzlab,kubeasz,6800,https://github/easzlab/kubeasz
geerlingguy,ansible-for-devops,4500,https://github/geerlingguy/ansible-for-devops
rundeck,rundeck,4200,https://github/rundeck/rundeck
ansible-semaphore,semaphore,4000,https://github/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,3600,https://github/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,3400,https://github/KubeOperator/KubeOperator
geerlingguy,mac-dev-playbook,3200,https://github/geerlingguy/mac-dev-playbook
ansible-community,molecule,3100,https://github/ansible-community/molecule
clong,DetectionLab,2700,https://github/clong/DetectionLab
welliamcao,OpsManage,2700,https://github/welliamcao/OpsManage
opendevops-cn,opendevops,2700,https://github/opendevops-cn/opendevops
ansible-community,ansible-lint,2500,https://github/ansible-community/ansible-lint
netbootxyz,netboot.xyz,2400,https://github/netbootxyz/netboot.xyz
werf,werf,2300,https://github/werf/werf
roots,trellis,2200,https://github/roots/trellis
alixaxel,chrome-aws-lambda,2200,https://github/alixaxel/chrome-aws-lambda
dev-sec,ansible-collection-hardening,2100,https://github/dev-sec/ansible-collection-hardening
ansistrano,deploy,2000,https://github/ansistrano/deploy
openshift,openshift-ansible,2000,https://github/openshift/openshift-ansible
fboender,ansible-cmdb,1900,https://github/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,1900,https://github/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1900,https://github/leucos/ansible-tuto
geerlingguy,ansible-vagrant-examples,1900,https://github/geerlingguy/ansible-vagrant-examples
Artemmkin,infrastructure-as-code-tutorial,1900,https://github/Artemmkin/infrastructure-as-code-tutorial
