username,repo_name,stars,repo_url
arendst,Tasmota,15100,https://github/arendst/Tasmota
rwaldron,johnny-five,12200,https://github/rwaldron/johnny-five
arduino,Arduino,11600,https://github/arduino/Arduino
MarlinFirmware,Marlin,11000,https://github/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,8200,https://github/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,7900,https://github/tinygo-org/tinygo
hybridgroup,gobot,7100,https://github/hybridgroup/gobot
gurugio,lowlevelprogramming-university,6800,https://github/gurugio/lowlevelprogramming-university
espressif,arduino-esp32,6600,https://github/espressif/arduino-esp32
bblanchon,ArduinoJson,5100,https://github/bblanchon/ArduinoJson
platformio,platformio-core,5000,https://github/platformio/platformio-core
tzapu,WiFiManager,4600,https://github/tzapu/WiFiManager
hybridgroup,cylon,3800,https://github/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3200,https://github/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3100,https://github/blynkkk/blynk-library
NectarJS,nectarjs,2900,https://github/NectarJS/nectarjs
arduino,arduino-cli,2900,https://github/arduino/arduino-cli
gioblu,PJON,2500,https://github/gioblu/PJON
blynkkk,blynk-server,2200,https://github/blynkkk/blynk-server
1technophile,OpenMQTTGateway,2200,https://github/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2000,https://github/scottlawsonbc/audio-reactive-led-strip
intel-isl,OpenBot,1800,https://github/intel-isl/OpenBot
crankyoldgit,IRremoteESP8266,1700,https://github/crankyoldgit/IRremoteESP8266
nRF24,RF24,1700,https://github/nRF24/RF24
Serial-Studio,Serial-Studio,1700,https://github/Serial-Studio/Serial-Studio
scottbez1,splitflap,1600,https://github/scottbez1/splitflap
stm32duino,Arduino_Core_STM32,1500,https://github/stm32duino/Arduino_Core_STM32
ThingPulse,esp8266-oled-ssd1306,1400,https://github/ThingPulse/esp8266-oled-ssd1306
Bodmer,TFT_eSPI,1300,https://github/Bodmer/TFT_eSPI
blinker-iot,blinker-library,1300,https://github/blinker-iot/blinker-library
