username,repo_name,stars,repo_url
atom,atom,54900,https://github/atom/atom
dracula,dracula-theme,15400,https://github/dracula/dracula-theme
mjswensen,themer,4100,https://github/mjswensen/themer
nteract,hydrogen,3700,https://github/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3200,https://github/shd101wyy/markdown-preview-enhanced
miniflux,v2,2800,https://github/miniflux/v2
atom,teletype,2300,https://github/atom/teletype
mehcode,awesome-atom,1800,https://github/mehcode/awesome-atom
mmcdole,gofeed,1600,https://github/mmcdole/gofeed
joefitzgerald,go-plus,1500,https://github/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github/Glavin001/atom-beautify
t9md,atom-vim-mode-plus,1400,https://github/t9md/atom-vim-mode-plus
simplepie,simplepie,1400,https://github/simplepie/simplepie
ocaml,merlin,1300,https://github/ocaml/merlin
MagicStack,MagicPython,1200,https://github/MagicStack/MagicPython
kurtmckee,feedparser,1200,https://github/kurtmckee/feedparser
atom,apm,1200,https://github/atom/apm
file-icons,atom,1100,https://github/file-icons/atom
kettanaito,atomic-layout,935,https://github/kettanaito/atomic-layout
danhper,atomic-chrome,929,https://github/danhper/atomic-chrome
nmdias,FeedKit,904,https://github/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,895,https://github/nathanbuchar/atom-one-dark-terminal
atom,github,891,https://github/atom/github
jesseweed,seti-ui,863,https://github/jesseweed/seti-ui
prettier,prettier-atom,754,https://github/prettier/prettier-atom
raphamorim,lucario,715,https://github/raphamorim/lucario
atom-community,atom-script,711,https://github/atom-community/atom-script
fwcd,kotlin-language-server,675,https://github/fwcd/kotlin-language-server
jasonmunro,cypht,644,https://github/jasonmunro/cypht
jekyll,jekyll-feed,641,https://github/jekyll/jekyll-feed
