username,repo_name,stars,repo_url
sindresorhus,awesome,159000,https://github/sindresorhus/awesome
vinta,awesome-python,96300,https://github/vinta/awesome-python
avelino,awesome-go,63800,https://github/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,57900,https://github/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,45600,https://github/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,43800,https://github/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,41700,https://github/jaywcjlove/awesome-mac
sindresorhus,awesome-nodejs,40800,https://github/sindresorhus/awesome-nodejs
521xueweihan,HelloGitHub,40400,https://github/521xueweihan/HelloGitHub
wasabeef,awesome-android-ui,40400,https://github/wasabeef/awesome-android-ui
DopplerHQ,awesome-interview-questions,39500,https://github/DopplerHQ/awesome-interview-questions
trimstray,the-book-of-secret-knowledge,37800,https://github/trimstray/the-book-of-secret-knowledge
vsouza,awesome-ios,37200,https://github/vsouza/awesome-ios
prakhar1989,awesome-courses,36900,https://github/prakhar1989/awesome-courses
Solido,awesome-flutter,35200,https://github/Solido/awesome-flutter
binhnguyennus,awesome-scalability,31900,https://github/binhnguyennus/awesome-scalability
tiimgreen,github-cheat-sheet,31600,https://github/tiimgreen/github-cheat-sheet
fffaraz,awesome-cpp,31100,https://github/fffaraz/awesome-cpp
dypsilon,frontend-dev-bookmarks,30800,https://github/dypsilon/frontend-dev-bookmarks
MunGell,awesome-for-beginners,30200,https://github/MunGell/awesome-for-beginners
akullpp,awesome-java,28500,https://github/akullpp/awesome-java
dkhamsing,open-source-ios-apps,27000,https://github/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,26600,https://github/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,25800,https://github/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25200,https://github/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25000,https://github/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,22800,https://github/goabstract/Awesome-Design-Tools
sindresorhus,awesome-electron,21400,https://github/sindresorhus/awesome-electron
alebcay,awesome-shell,21200,https://github/alebcay/awesome-shell
matteocrippa,awesome-swift,20600,https://github/matteocrippa/awesome-swift
