username,repo_name,stars,repo_url
ramitsurana,awesome-kubernetes,11500,https://github/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,10300,https://github/Azure/azure-quickstart-templates
microsoft,recommenders,9600,https://github/microsoft/recommenders
pulumi,pulumi,8400,https://github/pulumi/pulumi
bregman-arie,devops-exercises,8200,https://github/bregman-arie/devops-exercises
google,go-cloud,7700,https://github/google/go-cloud
microsoft,computervision-recipes,7700,https://github/microsoft/computervision-recipes
mozilla,sops,7300,https://github/mozilla/sops
caprover,caprover,7100,https://github/caprover/caprover
microsoft,azuredatastudio,6300,https://github/microsoft/azuredatastudio
node-formidable,formidable,5900,https://github/node-formidable/formidable
midwayjs,midway,4100,https://github/midwayjs/midway
thangchung,clean-code-dotnet,3700,https://github/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3600,https://github/cloud-custodian/cloud-custodian
budtmo,docker-android,3300,https://github/budtmo/docker-android
simov,grant,3300,https://github/simov/grant
nccgroup,ScoutSuite,3100,https://github/nccgroup/ScoutSuite
infracost,infracost,2900,https://github/infracost/infracost
Qovery,engine,2800,https://github/Qovery/engine
tfsec,tfsec,2600,https://github/tfsec/tfsec
mlabouardy,komiser,2600,https://github/mlabouardy/komiser
Azure,azure-powershell,2600,https://github/Azure/azure-powershell
bridgecrewio,checkov,2500,https://github/bridgecrewio/checkov
terraform-providers,terraform-provider-azurerm,2400,https://github/terraform-providers/terraform-provider-azurerm
Azure,azure-cli,2400,https://github/Azure/azure-cli
APIs-guru,openapi-directory,2400,https://github/APIs-guru/openapi-directory
Azure,azure-sdk-for-net,2300,https://github/Azure/azure-sdk-for-net
Azure,mmlspark,2300,https://github/Azure/mmlspark
Azure,MachineLearningNotebooks,2300,https://github/Azure/MachineLearningNotebooks
smartstore,SmartStoreNET,2200,https://github/smartstore/SmartStoreNET
