username,repo_name,stars,repo_url
babel,babel,38900,https://github/babel/babel
nylas,nylas-mail,24600,https://github/nylas/nylas-mail
kriasoft,react-starter-kit,20700,https://github/kriasoft/react-starter-kit
avajs,ava,18900,https://github/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,17400,https://github/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,13900,https://github/SimulatedGREG/electron-vue
grab,front-end-guide,13600,https://github/grab/front-end-guide
swc-project,swc,11600,https://github/swc-project/swc
jamiebuilds,babel-handbook,9900,https://github/jamiebuilds/babel-handbook
grommet,grommet,7200,https://github/grommet/grommet
developit,htm,6700,https://github/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https://github/angular-fullstack/generator-angular-fullstack
insin,nwb,5300,https://github/insin/nwb
documentationjs,documentation,5300,https://github/documentationjs/documentation
thinkjs,thinkjs,5200,https://github/thinkjs/thinkjs
egoist,poi,5200,https://github/egoist/poi
babel,babel-loader,4500,https://github/babel/babel-loader
jaredpalmer,backpack,4400,https://github/jaredpalmer/backpack
babel,minify,4200,https://github/babel/minify
transitive-bullshit,create-react-library,4200,https://github/transitive-bullshit/create-react-library
duxianwei520,react,4100,https://github/duxianwei520/react
ben-rogerson,twin.macro,3900,https://github/ben-rogerson/twin.macro
fkling,astexplorer,3800,https://github/fkling/astexplorer
kriasoft,graphql-starter,3200,https://github/kriasoft/graphql-starter
andywer,webpack-blocks,3000,https://github/andywer/webpack-blocks
tleunen,babel-plugin-module-resolver,3000,https://github/tleunen/babel-plugin-module-resolver
babel,babel-eslint,3000,https://github/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2700,https://github/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,2500,https://github/uidotdev/react-course
Atyantik,react-pwa,2400,https://github/Atyantik/react-pwa
