username,repo_name,stars,repo_url
bitcoin,bitcoin,52500,https://github/bitcoin/bitcoin
ccxt,ccxt,18900,https://github/ccxt/ccxt
HelloZeroNet,ZeroNet,16700,https://github/HelloZeroNet/ZeroNet
askmike,gekko,9600,https://github/askmike/gekko
freqtrade,freqtrade,7900,https://github/freqtrade/freqtrade
bbfamily,abu,7800,https://github/bbfamily/abu
lbryio,lbry-sdk,7300,https://github/lbryio/lbry-sdk
yeasy,blockchain_guide,5600,https://github/yeasy/blockchain_guide
dvf,blockchain,5600,https://github/dvf/blockchain
butor,blackbird,5200,https://github/butor/blackbird
lightningnetwork,lnd,5000,https://github/lightningnetwork/lnd
spesmilo,electrum,4800,https://github/spesmilo/electrum
btcsuite,btcd,4200,https://github/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4200,https://github/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,3900,https://github/bitcoinj/bitcoinj
bisq-network,bisq,3500,https://github/bisq-network/bisq
michaelgrosner,tribeca,3500,https://github/michaelgrosner/tribeca
Scanate,EthList,3400,https://github/Scanate/EthList
Zheaoli,awesome-coins,3300,https://github/Zheaoli/awesome-coins
RomelTorres,alpha_vantage,3300,https://github/RomelTorres/alpha_vantage
SqueezerIO,squeezer,3200,https://github/SqueezerIO/squeezer
coinpride,CryptoList,3200,https://github/coinpride/CryptoList
bitpay,wallet,3200,https://github/bitpay/wallet
lbryio,lbrycrd,3000,https://github/lbryio/lbrycrd
CryptoSignal,Crypto-Signal,2900,https://github/CryptoSignal/Crypto-Signal
Jeiwan,blockchain_go,2900,https://github/Jeiwan/blockchain_go
btcpayserver,btcpayserver,2600,https://github/btcpayserver/btcpayserver
bcoin-org,bcoin,2500,https://github/bcoin-org/bcoin
Xel,Blockchain-stuff,2400,https://github/Xel/Blockchain-stuff
bitcoin-wallet,bitcoin-wallet,2400,https://github/bitcoin-wallet/bitcoin-wallet
