username,repo_name,stars,repo_url
ccxt,ccxt,18900,https://github/ccxt/ccxt
hubotio,hubot,15800,https://github/hubotio/hubot
python-telegram-bot,python-telegram-bot,14500,https://github/python-telegram-bot/python-telegram-bot
timgrossmann,InstaPy,12700,https://github/timgrossmann/InstaPy
RasaHQ,rasa,11200,https://github/RasaHQ/rasa
discordjs,discord.js,11100,https://github/discordjs/discord.js
gunthercox,ChatterBot,11100,https://github/gunthercox/ChatterBot
howdyai,botkit,10300,https://github/howdyai/botkit
botpress,botpress,9200,https://github/botpress/botpress
sfyc23,EverydayWechat,8200,https://github/sfyc23/EverydayWechat
leon-ai,leon,7400,https://github/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900,https://github/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6500,https://github/microsoft/botframework-sdk
microsoft,ailab,6400,https://github/microsoft/ailab
maxbbraun,trump2cash,5900,https://github/maxbbraun/trump2cash
botman,botman,5400,https://github/botman/botman
yagop,node-telegram-bot-api,5200,https://github/yagop/node-telegram-bot-api
deepmipt,DeepPavlov,5200,https://github/deepmipt/DeepPavlov
telegraf,telegraf,4500,https://github/telegraf/telegraf
tgbot-collection,YYeTsBot,4300,https://github/tgbot-collection/YYeTsBot
axa-group,nlp.js,4300,https://github/axa-group/nlp.js
jef,streetmerchant,3900,https://github/jef/streetmerchant
ohld,igbot,3900,https://github/ohld/igbot
PokemonGoF,PokemonGo-Bot,3700,https://github/PokemonGoF/PokemonGo-Bot
Yoctol,bottender,3600,https://github/Yoctol/bottender
snipsco,snips-nlu,3500,https://github/snipsco/snips-nlu
goq,telegram-list,3000,https://github/goq/telegram-list
botui,botui,2500,https://github/botui/botui
orkestral,venom,2500,https://github/orkestral/venom
jesse-ai,jesse,2300,https://github/jesse-ai/jesse
