username,repo_name,stars,repo_url
Genymobile,scrcpy,47700,https://github/Genymobile/scrcpy
neovim,neovim,43300,https://github/neovim/neovim
git,git,37700,https://github/git/git
fffaraz,awesome-cpp,31100,https://github/fffaraz/awesome-cpp
obsproject,obs-studio,27500,https://github/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,25800,https://github/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,24400,https://github/FFmpeg/FFmpeg
vim,vim,23500,https://github/vim/vim
ggreer,the_silver_searcher,21900,https://github/ggreer/the_silver_searcher
curl,curl,20400,https://github/curl/curl
huihut,interview,18300,https://github/huihut/interview
ruby,ruby,18100,https://github/ruby/ruby
google,flatbuffers,16100,https://github/google/flatbuffers
oracle,graal,15100,https://github/oracle/graal
mpv-player,mpv,14900,https://github/mpv-player/mpv
shadowsocks,shadowsocks-libev,14300,https://github/shadowsocks/shadowsocks-libev
radareorg,radare2,14300,https://github/radareorg/radare2
pbatard,rufus,13600,https://github/pbatard/rufus
vurtun,nuklear,13300,https://github/vurtun/nuklear
allinurl,goaccess,13100,https://github/allinurl/goaccess
microsoft,vcpkg,12600,https://github/microsoft/vcpkg
facebook,infer,12200,https://github/facebook/infer
CoatiSoftware,Sourcetrail,11300,https://github/CoatiSoftware/Sourcetrail
jarun,nnn,11200,https://github/jarun/nnn
kovidgoyal,kitty,11100,https://github/kovidgoyal/kitty
s-matyukevich,raspberry-pi-os,10200,https://github/s-matyukevich/raspberry-pi-os
jonas,tig,10000,https://github/jonas/tig
hashcat,hashcat,9700,https://github/hashcat/hashcat
qmk,qmk_firmware,9400,https://github/qmk/qmk_firmware
OpenRCT2,OpenRCT2,9300,https://github/OpenRCT2/OpenRCT2
