username,repo_name,stars,repo_url
CyC2018,CS-Notes,127000,https://github/CyC2018/CS-Notes
tuvtran,project-based-learning,47600,https://github/tuvtran/project-based-learning
azl397985856,leetcode,41600,https://github/azl397985856/leetcode
x64dbg,x64dbg,36700,https://github/x64dbg/x64dbg
fffaraz,awesome-cpp,31100,https://github/fffaraz/awesome-cpp
microsoft,calculator,21900,https://github/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,20700,https://github/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,18300,https://github/huihut/interview
yuzu-emu,yuzu,14500,https://github/yuzu-emu/yuzu
changkun,modern-cpp-tutorial,13000,https://github/changkun/modern-cpp-tutorial
microsoft,vcpkg,12600,https://github/microsoft/vcpkg
facebook,infer,12200,https://github/facebook/infer
TheAlgorithms,C-Plus-Plus,11700,https://github/TheAlgorithms/C-Plus-Plus
AnthonyCalandra,modern-cpp-features,11600,https://github/AnthonyCalandra/modern-cpp-features
gabime,spdlog,11500,https://github/gabime/spdlog
google,tink,11300,https://github/google/tink
CoatiSoftware,Sourcetrail,11300,https://github/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,10600,https://github/ssloy/tinyrenderer
SFTtech,openage,10300,https://github/SFTtech/openage
Qv2ray,Qv2ray,10100,https://github/Qv2ray/Qv2ray
ethereum,solidity,9800,https://github/ethereum/solidity
antlr,antlr4,9800,https://github/antlr/antlr4
OpenRCT2,OpenRCT2,9300,https://github/OpenRCT2/OpenRCT2
kyleneideck,BackgroundMusic,9300,https://github/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,8500,https://github/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8400,https://github/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8100,https://github/codota/TabNine
rigtorp,awesome-modern-cpp,7800,https://github/rigtorp/awesome-modern-cpp
nasa,fprime,7800,https://github/nasa/fprime
VowpalWabbit,vowpal_wabbit,7500,https://github/VowpalWabbit/vowpal_wabbit
