username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,26300,https://github/CSSEGISandData/COVID-19
nytimes,covid-19-data,6300,https://github/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6100,https://github/tokyo-metropolitan-gov/covid19
covid19india,covid19india-react,5400,https://github/covid19india/covid19india-react
pcm-dpc,COVID-19,3800,https://github/pcm-dpc/COVID-19
owid,covid-19-data,3400,https://github/owid/covid-19-data
ieee8023,covid-chestxray-dataset,2600,https://github/ieee8023/covid-chestxray-dataset
WorldHealthOrganization,app,2000,https://github/WorldHealthOrganization/app
geohot,corona,1900,https://github/geohot/corona
ahmadawais,corona-cli,1700,https://github/ahmadawais/corona-cli
corona-warn-app,cwa-server,1700,https://github/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1500,https://github/ExpDev07/coronavirus-tracker-api
mhdhejazi,CoronaTracker,1400,https://github/mhdhejazi/CoronaTracker
soroushchehresa,awesome-coronavirus,1400,https://github/soroushchehresa/awesome-coronavirus
neherlab,covid19_scenarios,1400,https://github/neherlab/covid19_scenarios
github,covid19-dashboard,1200,https://github/github/covid19-dashboard
pomber,covid19,1200,https://github/pomber/covid19
FoldingAtHome,coronavirus,1100,https://github/FoldingAtHome/coronavirus
datasets,covid-19,1100,https://github/datasets/covid-19
chrismattmann,tika-python,1000,https://github/chrismattmann/tika-python
lindawangg,COVID-Net,944,https://github/lindawangg/COVID-Net
ImperialCollegeLondon,covid19model,919,https://github/ImperialCollegeLondon/covid19model
cyberman54,ESP32-Paxcounter,858,https://github/cyberman54/ESP32-Paxcounter
UCSD-AI4H,COVID-CT,835,https://github/UCSD-AI4H/COVID-CT
chandrikadeb7,Face-Mask-Detection,816,https://github/chandrikadeb7/Face-Mask-Detection
makers-for-life,makair,713,https://github/makers-for-life/makair
globalcitizen,2019-wuhan-coronavirus-data,627,https://github/globalcitizen/2019-wuhan-coronavirus-data
neuml,paperai,601,https://github/neuml/paperai
javieraviles,covidAPI,591,https://github/javieraviles/covidAPI
MohGovIL,hamagen-react-native,509,https://github/MohGovIL/hamagen-react-native
