username,repo_name,stars,repo_url
electron,electron,91400,https://github/electron/electron
FiloSottile,mkcert,29000,https://github/FiloSottile/mkcert
ovity,octotree,21200,https://github/ovity/octotree
segmentio,nightmare,18900,https://github/segmentio/nightmare
jaywcjlove,linux-command,15800,https://github/jaywcjlove/linux-command
iamadamdev,bypass-paywalls-chrome,14900,https://github/iamadamdev/bypass-paywalls-chrome
prisma-archive,chromeless,13300,https://github/prisma-archive/chromeless
checkly,headless-recorder,12900,https://github/checkly/headless-recorder
google,WebFundamentals,12000,https://github/google/WebFundamentals
casesandberg,react-color,9600,https://github/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,8100,https://github/GoogleChrome/chrome-extensions-samples
uBlock-LLC,uBlock,8000,https://github/uBlock-LLC/uBlock
crimx,ext-saladict,7100,https://github/crimx/ext-saladict
alvarcarto,url-to-pdf-api,6400,https://github/alvarcarto/url-to-pdf-api
chromedp,chromedp,6100,https://github/chromedp/chromedp
kangvcar,InfoSpider,5500,https://github/kangvcar/InfoSpider
yujiosaka,headless-chrome-crawler,5000,https://github/yujiosaka/headless-chrome-crawler
MetaMask,metamask-extension,4600,https://github/MetaMask/metamask-extension
firefox-devtools,debugger,4600,https://github/firefox-devtools/debugger
Kenshin,simpread,4500,https://github/Kenshin/simpread
MontFerret,ferret,4500,https://github/MontFerret/ferret
burtonator,polar-bookshelf,4300,https://github/burtonator/polar-bookshelf
nieweidong,fetool,4200,https://github/nieweidong/fetool
mjswensen,themer,4100,https://github/mjswensen/themer
bilibili-helper,bilibili-helper-o,3500,https://github/bilibili-helper/bilibili-helper-o
brookhong,Surfingkeys,3500,https://github/brookhong/Surfingkeys
melonjs,melonJS,3300,https://github/melonjs/melonJS
lmk123,crx-selection-translate,3300,https://github/lmk123/crx-selection-translate
gildas-lormeau,SingleFile,3200,https://github/gildas-lormeau/SingleFile
smooth-code,jest-puppeteer,3100,https://github/smooth-code/jest-puppeteer
