username,repo_name,stars,repo_url
metabase,metabase,24700,https://github/metabase/metabase
eclipse,deeplearning4j,12000,https://github/eclipse/deeplearning4j
LightTable,LightTable,11500,https://github/LightTable/LightTable
lk-geimfari,awesomo,7900,https://github/lk-geimfari/awesomo
kanaka,mal,7700,https://github/kanaka/mal
reagent-project,reagent,4200,https://github/reagent-project/reagent
tonsky,datascript,4100,https://github/tonsky/datascript
riemann,riemann,4000,https://github/riemann/riemann
penpot,penpot,4000,https://github/penpot/penpot
weavejester,compojure,3900,https://github/weavejester/compojure
bbatsov,clojure-style-guide,3600,https://github/bbatsov/clojure-style-guide
logseq,logseq,3600,https://github/logseq/logseq
izhangzhihao,intellij-rainbow-brackets,3500,https://github/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3300,https://github/ring-clojure/ring
clojure-emacs,cider,3100,https://github/clojure-emacs/cider
status-im,status-react,3100,https://github/status-im/status-react
bhauman,lein-figwheel,2900,https://github/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2700,https://github/tallesl/Rich-Hickey-fanclub
viebel,klipse,2600,https://github/viebel/klipse
twosigma,beakerx,2500,https://github/twosigma/beakerx
pedestal,pedestal,2400,https://github/pedestal/pedestal
weavejester,hiccup,2200,https://github/weavejester/hiccup
http-kit,http-kit,2200,https://github/http-kit/http-kit
razum2um,awesome-clojure,2100,https://github/razum2um/awesome-clojure
onyx-platform,onyx,2000,https://github/onyx-platform/onyx
babashka,babashka,1900,https://github/babashka/babashka
anmonteiro,lumo,1800,https://github/anmonteiro/lumo
boot-clj,boot,1700,https://github/boot-clj/boot
defold,defold,1600,https://github/defold/defold
ptaoussanis,sente,1600,https://github/ptaoussanis/sente
