username,repo_name,stars,repo_url
facebook,infer,12200,https://github/facebook/infer
analysis-tools-dev,static-analysis,8500,https://github/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6000,https://github/checkstyle/checkstyle
SonarSource,sonarqube,5700,https://github/SonarSource/sonarqube
facebook,pyre-check,5300,https://github/facebook/pyre-check
Kristories,awesome-guidelines,4600,https://github/Kristories/awesome-guidelines
simplecov-ruby,simplecov,4200,https://github/simplecov-ruby/simplecov
phpro,grumphp,3500,https://github/phpro/grumphp
pmd,pmd,3400,https://github/pmd/pmd
PyCQA,pylint,3300,https://github/PyCQA/pylint
reviewdog,reviewdog,3200,https://github/reviewdog/reviewdog
htmlhint,HTMLHint,2600,https://github/htmlhint/HTMLHint
codeclimate,codeclimate,2200,https://github/codeclimate/codeclimate
kucherenko,jscpd,2100,https://github/kucherenko/jscpd
trekhleb,state-of-the-art-shitcode,1700,https://github/trekhleb/state-of-the-art-shitcode
uber,piranha,1700,https://github/uber/piranha
wemake-services,wemake-python-styleguide,1400,https://github/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github/ehmicky/cross-platform-node-guide
urish,typewiz,1000,https://github/urish/typewiz
Tencent,feflow,960,https://github/Tencent/feflow
joshuaclayton,unused,879,https://github/joshuaclayton/unused
jakzal,phpqa,875,https://github/jakzal/phpqa
SonarSource,SonarTS,776,https://github/SonarSource/SonarTS
bufferapp,android-guidelines,761,https://github/bufferapp/android-guidelines
dabutvin,Imgbot,744,https://github/dabutvin/Imgbot
pdepend,pdepend,734,https://github/pdepend/pdepend
SonarSource,SonarJS,707,https://github/SonarSource/SonarJS
grodowski,undercover,573,https://github/grodowski/undercover
maglnet,ComposerRequireChecker,568,https://github/maglnet/ComposerRequireChecker
dodie,vim-disapprove-deep-indentation,564,https://github/dodie/vim-disapprove-deep-indentation
