username,repo_name,stars,repo_url
ovity,octotree,21200,https://github/ovity/octotree
danger,danger,4400,https://github/danger/danger
danger,danger-js,3800,https://github/danger/danger-js
gitpod-io,gitpod,3700,https://github/gitpod-io/gitpod
reviewdog,reviewdog,3200,https://github/reviewdog/reviewdog
joho,awesome-code-review,2700,https://github/joho/awesome-code-review
houndci,hound,1900,https://github/houndci/hound
mbj,mutant,1700,https://github/mbj/mutant
ajinabraham,nodejsscan,1700,https://github/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1600,https://github/microsoft/vscode-pull-request-github
reviewboard,reviewboard,1300,https://github/reviewboard/reviewboard
crev-dev,cargo-crev,1300,https://github/crev-dev/cargo-crev
bit4woo,python_sec,937,https://github/bit4woo/python_sec
ryanmcdermott,code-review-tips,887,https://github/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,868,https://github/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,761,https://github/jiangsir404/Audit-Learning
TeamCodeStream,codestream,506,https://github/TeamCodeStream/codestream
enlightn,enlightn,423,https://github/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,409,https://github/uwolfer/gerrit-intellij-plugin
bsamseth,cpp-project,343,https://github/bsamseth/cpp-project
mookid,diffr,342,https://github/mookid/diffr
palantir,policy-bot,341,https://github/palantir/policy-bot
sjparkinson,static-review,330,https://github/sjparkinson/static-review
dpnishant,raptor,317,https://github/dpnishant/raptor
burrito-brothers,shiba,278,https://github/burrito-brothers/shiba
mgreiler,code-review-checklist,239,https://github/mgreiler/code-review-checklist
charignon,github-review,216,https://github/charignon/github-review
src-d,lookout,141,https://github/src-d/lookout
uwolfer,gerrit-rest-java-client,134,https://github/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,132,https://github/thesp0nge/owasp-orizon
