username,repo_name,stars,repo_url
httpie,httpie,50600,https://github/httpie/httpie
junegunn,fzf,36300,https://github/junegunn/fzf
sharkdp,bat,26600,https://github/sharkdp/bat
wagoodman,dive,25900,https://github/wagoodman/dive
BurntSushi,ripgrep,24800,https://github/BurntSushi/ripgrep
sherlock-project,sherlock,24500,https://github/sherlock-project/sherlock
angular,angular-cli,24400,https://github/angular/angular-cli
chubin,cheat.sh,24100,https://github/chubin/cheat.sh
cli,cli,23100,https://github/cli/cli
spf13,cobra,21300,https://github/spf13/cobra
alebcay,awesome-shell,21200,https://github/alebcay/awesome-shell
jesseduffield,lazygit,19600,https://github/jesseduffield/lazygit
google,python-fire,19000,https://github/google/python-fire
avajs,ava,18900,https://github/avajs/ava
tqdm,tqdm,18100,https://github/tqdm/tqdm
vercel,pkg,17900,https://github/vercel/pkg
sharkdp,fd,17100,https://github/sharkdp/fd
chalk,chalk,16300,https://github/chalk/chalk
vadimdemedes,ink,16000,https://github/vadimdemedes/ink
svg,svgo,16000,https://github/svg/svgo
urfave,cli,15700,https://github/urfave/cli
gpakosz,.tmux,13900,https://github/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13800,https://github/FormidableLabs/webpack-dashboard
n8n-io,n8n,13500,https://github/n8n-io/n8n
allinurl,goaccess,13100,https://github/allinurl/goaccess
pomber,git-history,12500,https://github/pomber/git-history
infinitered,ignite,12300,https://github/infinitered/ignite
jarun,nnn,11200,https://github/jarun/nnn
pallets,click,10700,https://github/pallets/click
asdf-vm,asdf,10500,https://github/asdf-vm/asdf
