username,repo_name,stars,repo_url
vercel,next.js,66100,https://github/vercel/next.js
webpack,webpack,58100,https://github/webpack/webpack
rust-lang,rust,54200,https://github/rust-lang/rust
gatsbyjs,gatsby,50000,https://github/gatsbyjs/gatsby
sveltejs,svelte,46400,https://github/sveltejs/svelte
babel,babel,38900,https://github/babel/babel
parcel-bundler,parcel,38000,https://github/parcel-bundler/parcel
JetBrains,kotlin,36200,https://github/JetBrains/kotlin
markedjs,marked,24800,https://github/markedjs/marked
evanw,esbuild,23700,https://github/evanw/esbuild
vlang,v,23500,https://github/vlang/v
vercel,pkg,17900,https://github/vercel/pkg
v8,v8,17400,https://github/v8/v8
rome,tools,15000,https://github/rome/tools
Konloch,bytecode-viewer,12000,https://github/Konloch/bytecode-viewer
AssemblyScript,assemblyscript,11700,https://github/AssemblyScript/assemblyscript
swc-project,swc,11600,https://github/swc-project/swc
nim-lang,Nim,11200,https://github/nim-lang/Nim
gopherjs,gopherjs,10100,https://github/gopherjs/gopherjs
ziglang,zig,9000,https://github/ziglang/zig
compiler-explorer,compiler-explorer,8500,https://github/compiler-explorer/compiler-explorer
JetBrains,kotlin-native,7100,https://github/JetBrains/kotlin-native
apache,tvm,6600,https://github/apache/tvm
numba,numba,6400,https://github/numba/numba
elm,compiler,6400,https://github/elm/compiler
aalhour,awesome-compilers,5900,https://github/aalhour/awesome-compilers
lebab,lebab,5400,https://github/lebab/lebab
rescript-lang,rescript-compiler,5200,https://github/rescript-lang/rescript-compiler
DoctorWkt,acwj,4900,https://github/DoctorWkt/acwj
red,red,4500,https://github/red/red
