username,repo_name,stars,repo_url
drone,drone,22900,https://github/drone/drone
jenkinsci,jenkins,17200,https://github/jenkinsci/jenkins
auchenberg,volkswagen,11400,https://github/auchenberg/volkswagen
openshift,origin,7900,https://github/openshift/origin
gocd,gocd,6100,https://github/gocd/gocd
concourse,concourse,5600,https://github/concourse/concourse
buildbot,buildbot,4600,https://github/buildbot/buildbot
Strider-CD,strider,4500,https://github/Strider-CD/strider
gaia-pipeline,gaia,4400,https://github/gaia-pipeline/gaia
jenkins-x,jx,3800,https://github/jenkins-x/jx
hygieia,Hygieia,3600,https://github/hygieia/Hygieia
xcpretty,xcpretty,3600,https://github/xcpretty/xcpretty
theonedev,onedev,3500,https://github/theonedev/onedev
ovh,cds,3400,https://github/ovh/cds
cake-build,cake,2900,https://github/cake-build/cake
ligurio,awesome-ci,2500,https://github/ligurio/awesome-ci
dancryer,PHPCI,2400,https://github/dancryer/PHPCI
werf,werf,2300,https://github/werf/werf
tox-dev,tox,2200,https://github/tox-dev/tox
dreamans,syncd,1900,https://github/dreamans/syncd
houndci,hound,1900,https://github/houndci/hound
TheLartians,ModernCppStarter,1800,https://github/TheLartians/ModernCppStarter
fabric8io,fabric8,1800,https://github/fabric8io/fabric8
shivammathur,setup-php,1500,https://github/shivammathur/setup-php
lastbackend,lastbackend,1500,https://github/lastbackend/lastbackend
nuke-build,nuke,1200,https://github/nuke-build/nuke
FlowCI,flow-core-x,1100,https://github/FlowCI/flow-core-x
japaric,trust,1100,https://github/japaric/trust
bmitch,churn-php,1100,https://github/bmitch/churn-php
Piplin,Piplin,1000,https://github/Piplin/Piplin
